Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       Egzaminas 
Vardas1        Pavarde1       8         3         1         8         4         6         
Vardas2        Pavarde2       2         1         4         1         2         10        
Vardas3        Pavarde3       5         2         5         4         8         6         
Vardas4        Pavarde4       7         8         5         4         3         8         
Vardas5        Pavarde5       1         1         9         8         1         3         
Vardas6        Pavarde6       4         5         1         1         2         8         
Vardas7        Pavarde7       8         6         10        3         10        3         
Vardas8        Pavarde8       7         5         3         8         8         8         
Vardas9        Pavarde9       4         5         3         7         1         7         
Vardas10       Pavarde10      9         2         7         10        7         9         
Vardas11       Pavarde11      4         1         10        1         2         1         
Vardas12       Pavarde12      10        6         4         3         6         1         
Vardas13       Pavarde13      1         3         3         2         5         1         
Vardas14       Pavarde14      5         2         9         4         3         8         
Vardas15       Pavarde15      1         4         1         5         5         10        
Vardas16       Pavarde16      5         1         1         1         8         10        
Vardas17       Pavarde17      1         7         10        5         7         7         
Vardas18       Pavarde18      4         3         6         10        4         1         
Vardas19       Pavarde19      8         9         3         4         10        1         
Vardas20       Pavarde20      7         8         5         10        7         2         
Vardas21       Pavarde21      7         6         1         1         3         1         
Vardas22       Pavarde22      3         9         2         5         7         9         
Vardas23       Pavarde23      4         7         4         7         2         5         
Vardas24       Pavarde24      3         9         9         10        3         2         
Vardas25       Pavarde25      7         8         3         5         4         5         
Vardas26       Pavarde26      4         4         3         7         10        2         
Vardas27       Pavarde27      9         4         3         7         2         5         
Vardas28       Pavarde28      2         6         5         4         9         7         
Vardas29       Pavarde29      3         8         3         10        5         8         
Vardas30       Pavarde30      8         8         8         3         5         10        
Vardas31       Pavarde31      2         10        4         3         2         2         
Vardas32       Pavarde32      1         1         1         10        2         2         
Vardas33       Pavarde33      4         8         2         5         3         5         
Vardas34       Pavarde34      8         6         5         10        8         10        
Vardas35       Pavarde35      10        5         8         9         10        5         
Vardas36       Pavarde36      6         6         10        1         2         6         
Vardas37       Pavarde37      8         9         4         7         5         8         
Vardas38       Pavarde38      4         2         1         10        2         7         
Vardas39       Pavarde39      3         10        10        5         7         5         
Vardas40       Pavarde40      6         3         5         8         2         1         
Vardas41       Pavarde41      8         2         1         4         7         7         
Vardas42       Pavarde42      1         4         1         6         6         1         
Vardas43       Pavarde43      5         8         3         9         9         10        
Vardas44       Pavarde44      9         5         8         8         4         9         
Vardas45       Pavarde45      9         6         9         7         5         5         
Vardas46       Pavarde46      2         9         10        5         4         2         
Vardas47       Pavarde47      5         3         8         6         1         3         
Vardas48       Pavarde48      7         1         10        3         6         2         
Vardas49       Pavarde49      10        9         10        3         7         6         
Vardas50       Pavarde50      6         1         7         6         4         6         
Vardas51       Pavarde51      6         5         2         10        9         1         
Vardas52       Pavarde52      6         7         4         1         1         9         
Vardas53       Pavarde53      3         8         5         5         2         10        
Vardas54       Pavarde54      1         10        2         7         9         3         
Vardas55       Pavarde55      2         10        9         1         10        2         
Vardas56       Pavarde56      3         3         10        2         8         8         
Vardas57       Pavarde57      3         6         7         6         3         4         
Vardas58       Pavarde58      1         7         6         4         9         4         
Vardas59       Pavarde59      9         6         8         8         5         6         
Vardas60       Pavarde60      10        4         2         9         7         7         
Vardas61       Pavarde61      2         3         8         2         8         9         
Vardas62       Pavarde62      6         3         6         1         10        1         
Vardas63       Pavarde63      6         7         2         3         9         9         
Vardas64       Pavarde64      7         10        8         2         8         9         
Vardas65       Pavarde65      8         1         7         5         9         4         
Vardas66       Pavarde66      8         3         2         7         2         8         
Vardas67       Pavarde67      3         1         2         8         8         7         
Vardas68       Pavarde68      2         5         9         7         9         2         
Vardas69       Pavarde69      8         2         4         9         5         1         
Vardas70       Pavarde70      3         2         6         6         6         3         
Vardas71       Pavarde71      8         6         3         7         2         7         
Vardas72       Pavarde72      4         2         9         4         8         1         
Vardas73       Pavarde73      9         3         9         6         2         6         
Vardas74       Pavarde74      8         8         6         3         10        6         
Vardas75       Pavarde75      7         7         10        7         8         8         
Vardas76       Pavarde76      9         7         2         4         3         10        
Vardas77       Pavarde77      1         3         9         2         2         2         
Vardas78       Pavarde78      10        5         2         6         2         7         
Vardas79       Pavarde79      5         1         10        4         1         5         
Vardas80       Pavarde80      8         10        8         6         7         2         
Vardas81       Pavarde81      3         2         4         2         9         9         
Vardas82       Pavarde82      7         10        1         10        9         10        
Vardas83       Pavarde83      3         8         3         5         4         5         
Vardas84       Pavarde84      10        9         2         7         10        3         
Vardas85       Pavarde85      9         10        2         3         3         6         
Vardas86       Pavarde86      7         10        2         4         7         6         
Vardas87       Pavarde87      10        2         3         3         8         10        
Vardas88       Pavarde88      9         4         7         2         8         4         
Vardas89       Pavarde89      9         7         6         8         2         2         
Vardas90       Pavarde90      10        3         8         7         4         2         
