Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       Egzaminas 
Vardas1        Pavarde1       7         4         1         2         2         6         
Vardas2        Pavarde2       9         6         8         1         2         1         
Vardas3        Pavarde3       7         1         1         1         6         8         
Vardas4        Pavarde4       2         2         3         8         8         10        
Vardas5        Pavarde5       7         10        4         3         3         6         
Vardas6        Pavarde6       7         7         7         6         1         5         
Vardas7        Pavarde7       4         8         2         1         5         4         
Vardas8        Pavarde8       3         2         2         2         3         2         
Vardas9        Pavarde9       1         8         6         7         8         7         
Vardas10       Pavarde10      6         2         4         8         3         6         
Vardas11       Pavarde11      5         10        5         7         4         1         
Vardas12       Pavarde12      3         6         8         6         3         1         
Vardas13       Pavarde13      3         8         1         9         4         4         
Vardas14       Pavarde14      3         8         1         6         6         5         
Vardas15       Pavarde15      2         10        10        8         1         4         
Vardas16       Pavarde16      7         10        9         6         5         10        
Vardas17       Pavarde17      2         9         4         3         10        2         
Vardas18       Pavarde18      6         5         10        5         1         9         
Vardas19       Pavarde19      6         2         7         2         10        5         
Vardas20       Pavarde20      9         5         2         9         3         8         
Vardas21       Pavarde21      2         7         6         6         9         4         
Vardas22       Pavarde22      6         2         9         9         5         8         
Vardas23       Pavarde23      10        10        10        4         6         5         
Vardas24       Pavarde24      8         10        7         2         5         1         
Vardas25       Pavarde25      7         2         4         7         7         9         
Vardas26       Pavarde26      1         1         9         9         4         3         
Vardas27       Pavarde27      5         3         3         2         4         10        
Vardas28       Pavarde28      2         8         6         9         6         2         
Vardas29       Pavarde29      10        5         2         3         10        4         
Vardas30       Pavarde30      6         6         5         9         9         10        
Vardas31       Pavarde31      3         2         8         9         3         10        
Vardas32       Pavarde32      3         6         3         5         6         2         
Vardas33       Pavarde33      4         7         4         6         3         6         
Vardas34       Pavarde34      10        2         3         5         5         5         
Vardas35       Pavarde35      2         3         7         5         1         2         
Vardas36       Pavarde36      1         4         1         4         6         10        
Vardas37       Pavarde37      5         3         4         9         2         7         
Vardas38       Pavarde38      10        8         7         2         8         10        
Vardas39       Pavarde39      8         4         4         1         8         3         
Vardas40       Pavarde40      10        7         9         2         2         2         
Vardas41       Pavarde41      4         2         2         7         7         10        
Vardas42       Pavarde42      1         10        3         6         2         1         
Vardas43       Pavarde43      3         5         8         2         2         2         
Vardas44       Pavarde44      3         5         2         2         6         4         
Vardas45       Pavarde45      5         7         1         9         10        7         
Vardas46       Pavarde46      2         7         4         9         1         1         
Vardas47       Pavarde47      4         6         2         1         4         1         
Vardas48       Pavarde48      7         2         3         5         7         1         
Vardas49       Pavarde49      5         7         5         9         1         9         
Vardas50       Pavarde50      8         10        9         7         7         7         
Vardas51       Pavarde51      2         5         4         2         9         4         
Vardas52       Pavarde52      6         3         2         7         9         3         
Vardas53       Pavarde53      9         1         6         8         8         6         
Vardas54       Pavarde54      7         7         8         5         8         4         
Vardas55       Pavarde55      5         2         7         7         3         6         
Vardas56       Pavarde56      7         6         7         9         3         9         
Vardas57       Pavarde57      5         3         10        6         9         6         
Vardas58       Pavarde58      2         8         6         6         10        2         
Vardas59       Pavarde59      7         3         6         1         9         1         
Vardas60       Pavarde60      9         5         3         1         8         5         
Vardas61       Pavarde61      7         4         5         8         8         8         
Vardas62       Pavarde62      5         9         7         1         2         10        
Vardas63       Pavarde63      8         10        3         4         2         1         
Vardas64       Pavarde64      10        6         9         1         3         4         
Vardas65       Pavarde65      2         5         7         2         6         7         
Vardas66       Pavarde66      4         8         5         10        9         2         
Vardas67       Pavarde67      10        1         6         1         8         7         
Vardas68       Pavarde68      10        8         10        6         9         7         
Vardas69       Pavarde69      7         8         2         9         2         9         
Vardas70       Pavarde70      2         3         3         6         4         5         
Vardas71       Pavarde71      8         6         7         10        7         1         
Vardas72       Pavarde72      8         10        3         4         10        10        
Vardas73       Pavarde73      6         8         2         9         7         6         
Vardas74       Pavarde74      5         6         6         3         7         1         
Vardas75       Pavarde75      6         10        10        9         1         7         
Vardas76       Pavarde76      2         10        4         5         6         2         
Vardas77       Pavarde77      8         3         5         9         3         7         
Vardas78       Pavarde78      7         9         9         8         1         6         
Vardas79       Pavarde79      6         9         9         5         3         5         
Vardas80       Pavarde80      3         1         9         4         3         8         
Vardas81       Pavarde81      9         8         6         6         1         9         
Vardas82       Pavarde82      3         6         1         5         5         5         
Vardas83       Pavarde83      2         6         1         2         4         5         
Vardas84       Pavarde84      5         10        4         3         2         4         
Vardas85       Pavarde85      5         1         5         8         4         2         
Vardas86       Pavarde86      5         2         2         3         10        4         
Vardas87       Pavarde87      9         7         5         10        10        9         
Vardas88       Pavarde88      4         8         6         3         9         3         
Vardas89       Pavarde89      10        8         6         2         8         9         
Vardas90       Pavarde90      3         6         1         4         6         7         
Vardas91       Pavarde91      8         9         9         1         6         2         
Vardas92       Pavarde92      6         10        4         5         8         8         
Vardas93       Pavarde93      10        4         3         3         7         7         
Vardas94       Pavarde94      6         7         10        5         6         8         
Vardas95       Pavarde95      5         3         8         4         1         4         
Vardas96       Pavarde96      4         2         9         7         4         4         
Vardas97       Pavarde97      9         3         10        8         1         8         
Vardas98       Pavarde98      7         1         6         9         2         5         
Vardas99       Pavarde99      5         2         1         3         4         8         
Vardas100      Pavarde100     1         4         8         8         8         4         
Vardas101      Pavarde101     1         3         4         4         7         5         
Vardas102      Pavarde102     8         7         3         6         1         10        
Vardas103      Pavarde103     5         5         9         7         4         9         
Vardas104      Pavarde104     1         8         5         9         3         7         
Vardas105      Pavarde105     10        8         3         10        10        1         
Vardas106      Pavarde106     3         2         9         3         8         7         
Vardas107      Pavarde107     10        1         7         6         1         5         
Vardas108      Pavarde108     10        9         2         3         3         5         
Vardas109      Pavarde109     4         5         6         7         8         4         
Vardas110      Pavarde110     1         8         9         8         1         8         
Vardas111      Pavarde111     9         2         5         4         3         2         
Vardas112      Pavarde112     1         2         2         5         1         3         
Vardas113      Pavarde113     1         3         4         4         7         1         
Vardas114      Pavarde114     8         9         4         10        1         3         
Vardas115      Pavarde115     10        4         9         10        8         8         
Vardas116      Pavarde116     6         4         4         4         1         3         
Vardas117      Pavarde117     1         4         3         6         1         10        
Vardas118      Pavarde118     9         8         2         2         10        1         
Vardas119      Pavarde119     2         4         10        2         3         9         
Vardas120      Pavarde120     5         3         10        1         9         3         
Vardas121      Pavarde121     8         8         3         7         7         3         
Vardas122      Pavarde122     4         1         3         9         4         1         
Vardas123      Pavarde123     3         6         7         6         10        10        
Vardas124      Pavarde124     6         6         3         5         3         9         
Vardas125      Pavarde125     6         4         10        9         3         5         
Vardas126      Pavarde126     7         10        4         6         8         8         
Vardas127      Pavarde127     10        6         7         4         10        10        
Vardas128      Pavarde128     5         4         9         3         10        1         
Vardas129      Pavarde129     2         7         7         3         6         9         
Vardas130      Pavarde130     9         5         5         3         2         5         
Vardas131      Pavarde131     2         5         7         2         5         9         
Vardas132      Pavarde132     6         9         4         6         2         4         
Vardas133      Pavarde133     5         7         3         4         5         9         
Vardas134      Pavarde134     8         6         3         2         3         1         
Vardas135      Pavarde135     4         1         1         10        8         6         
Vardas136      Pavarde136     7         1         2         6         4         10        
Vardas137      Pavarde137     9         2         2         6         5         8         
Vardas138      Pavarde138     4         10        4         7         10        2         
Vardas139      Pavarde139     7         6         3         6         4         2         
Vardas140      Pavarde140     1         6         2         6         3         7         
Vardas141      Pavarde141     4         8         10        1         4         9         
Vardas142      Pavarde142     8         4         2         5         10        1         
Vardas143      Pavarde143     8         7         10        10        9         6         
Vardas144      Pavarde144     5         7         9         2         8         5         
Vardas145      Pavarde145     9         10        7         2         1         9         
Vardas146      Pavarde146     4         3         10        7         1         10        
Vardas147      Pavarde147     4         3         10        3         10        7         
Vardas148      Pavarde148     6         2         5         9         1         1         
Vardas149      Pavarde149     8         5         6         6         9         7         
Vardas150      Pavarde150     1         3         6         2         4         7         
Vardas151      Pavarde151     9         8         10        9         3         5         
Vardas152      Pavarde152     6         6         2         5         8         2         
Vardas153      Pavarde153     1         6         5         6         5         7         
Vardas154      Pavarde154     10        3         3         9         7         3         
Vardas155      Pavarde155     6         7         4         7         6         1         
Vardas156      Pavarde156     9         1         8         6         7         9         
Vardas157      Pavarde157     8         5         4         3         7         6         
Vardas158      Pavarde158     9         9         2         9         5         5         
Vardas159      Pavarde159     8         5         6         5         1         8         
Vardas160      Pavarde160     6         4         4         3         2         6         
Vardas161      Pavarde161     10        5         3         4         2         6         
Vardas162      Pavarde162     1         2         1         3         9         4         
Vardas163      Pavarde163     3         2         6         1         7         1         
Vardas164      Pavarde164     2         7         8         5         4         8         
Vardas165      Pavarde165     8         7         8         5         5         2         
Vardas166      Pavarde166     6         8         8         3         10        5         
Vardas167      Pavarde167     10        2         10        1         6         1         
Vardas168      Pavarde168     10        10        10        9         7         7         
Vardas169      Pavarde169     3         2         8         10        10        1         
Vardas170      Pavarde170     10        1         7         7         10        9         
Vardas171      Pavarde171     10        2         9         5         5         1         
